,030201,030203,030204,030205,030206,030207,030208,030209,030211,030213,日期,班次,周次,星期,已使用班组
2025-10-09;早班;2,"[('MT0010010082', 'pack01', 34000, 34000, 0), ('MT0010010082', 'pack02', 34000, 34000, 0)]","[('MT0010010778', 'pack17', 26000, 26000, 0)]","[('MT0010010050', 'pack15', 15000, 15000, 0)]","[('MT0010010082', 'pack05', 55000, 55000, 0), ('MT0010010082', 'pack11', 55000, 55000, 0)]","[('MT0010010778', 'pack06', 26000, 26000, 0), ('MT0010010778', 'pack13', 26000, 26000, 0)]","[('MT0010010778', 'pack17', 26000, 26000, 0)]","[('MT0010010664', 'pack09', 10800, 10800, 0), ('MT0010010664', 'pack08', 10800, 10800, 0)]","[('MT0010010082', 'pack19', 28000, 28000, 0), ('MT0010010082', 'pack18', 28000, 28000, 0)]","[('MT0010010274', 'pack17', 30040, 30040, 0)]","[('MT0020010004', 'pack16', 18000, 18000, 0), ('MT0020010004', 'pack12', 18000, 18000, 0)]",2025-10-09,早班,2,Thursday,"['pack01', 'pack02', 'pack05', 'pack06', 'pack08', 'pack09', 'pack11', 'pack12', 'pack13', 'pack15', 'pack16', 'pack17', 'pack18', 'pack19']"
2025-10-09;中班;2,"[('MT0010010082', 'pack10', 34000, 34000, 0), ('MT0010010082', 'pack14', 34000, 34000, 0)]","[('MT0010010778', 'pack07', 26000, 26000, 0)]","[('MT0010010050', 'pack07', 15000, 15000, 0)]",,,"[('MT0010010778', 'pack07', 26000, 26000, 0)]",,,"[('MT0010010274', 'pack07', 30040, 30040, 0)]",,2025-10-09,中班,2,Thursday,"['pack07', 'pack10', 'pack14']"
2025-10-10;早班;2,"[('MT0010010082', 'pack01', 34000, 34000, 0), ('MT0010010082', 'pack02', 34000, 34000, 0)]","[('MT0010010778', 'pack17', 26000, 26000, 0)]","[('MT0010010050', 'pack15', 15000, 15000, 0)]","[('MT0010010082', 'pack05', 55000, 55000, 0), ('MT0010010082', 'pack11', 55000, 55000, 0)]","[('MT0010010778', 'pack06', 26000, 26000, 0), ('MT0010010778', 'pack13', 26000, 26000, 0)]","[('MT0010010778', 'pack17', 26000, 26000, 0)]","[('MT0010010664', 'pack09', 10800, 10469, 0), ('MT0010010026', 'pack08', 4248, 4248, 0)]","[('MT0010010082', 'pack19', 28000, 28000, 0), ('MT0010010082', 'pack18', 28000, 28000, 0)]","[('MT0010010274', 'pack17', 30040, 30040, 0)]","[('MT0020010004', 'pack16', 18000, 18000, 0), ('MT0020010004', 'pack12', 18000, 18000, 0)]",2025-10-10,早班,2,Friday,"['pack01', 'pack02', 'pack05', 'pack06', 'pack08', 'pack09', 'pack11', 'pack12', 'pack13', 'pack15', 'pack16', 'pack17', 'pack18', 'pack19']"
2025-10-10;中班;2,"[('MT0010010082', 'pack10', 34000, 34000, 0), ('MT0010010082', 'pack14', 34000, 34000, 0)]","[('MT0010010778', 'pack07', 26000, 26000, 0)]","[('MT0010010050', 'pack07', 15000, 15000, 0)]",,,"[('MT0010010778', 'pack07', 26000, 26000, 0)]",,,"[('MT0010010274', 'pack07', 30040, 30040, 0)]",,2025-10-10,中班,2,Friday,"['pack07', 'pack10', 'pack14']"
2025-10-11;早班;2,"[('MT0010010082', 'pack01', 34000, 34000, 0), ('MT0010010082', 'pack02', 34000, 34000, 0)]","[('MT0010010778', 'pack17', 26000, 26000, 0)]","[('MT0010010050', 'pack15', 15000, 15000, 0)]","[('MT0010010082', 'pack05', 55000, 55000, 0), ('MT0010010082', 'pack11', 55000, 55000, 0)]","[('MT0010010778', 'pack06', 26000, 26000, 0), ('MT0010010778', 'pack13', 26000, 26000, 0)]","[('MT0010010778', 'pack17', 26000, 26000, 0)]","[('MT0010010026', 'pack09', 4248, 4248, 0), ('MT0010010026', 'pack08', 4248, 4248, 0)]","[('MT0010010082', 'pack19', 28000, 28000, 0), ('MT0010010082', 'pack18', 28000, 28000, 0)]","[('MT0010010274', 'pack17', 30040, 30040, 0)]","[('MT0020010004', 'pack16', 18000, 18000, 0), ('MT0020010004', 'pack12', 18000, 18000, 0)]",2025-10-11,早班,2,Saturday,"['pack01', 'pack02', 'pack05', 'pack06', 'pack08', 'pack09', 'pack11', 'pack12', 'pack13', 'pack15', 'pack16', 'pack17', 'pack18', 'pack19']"
2025-10-11;中班;2,"[('MT0010010082', 'pack10', 34000, 34000, 0), ('MT0010010082', 'pack14', 34000, 34000, 0)]","[('MT0010010778', 'pack07', 26000, 26000, 0)]","[('MT0010010050', 'pack07', 15000, 15000, 0)]",,,"[('MT0010010778', 'pack07', 26000, 26000, 0)]",,,"[('MT0010010274', 'pack07', 30040, 30040, 0)]",,2025-10-11,中班,2,Saturday,"['pack07', 'pack10', 'pack14']"
2025-10-13;早班;3,"[('MT0010010082', 'pack01', 34000, 34000, 0), ('MT0010010082', 'pack02', 34000, 34000, 0)]","[('MT0010010778', 'pack17', 26000, 26000, 0)]","[('MT0010010050', 'pack15', 15000, 15000, 0)]","[('MT0010010082', 'pack05', 55000, 55000, 0), ('MT0010010082', 'pack11', 55000, 55000, 0)]","[('MT0010010778', 'pack06', 26000, 26000, 0), ('MT0010010778', 'pack13', 26000, 26000, 0)]","[('MT0010010778', 'pack17', 26000, 26000, 0)]","[('MT0010010026', 'pack09', 4248, 4248, 0), ('MT0010010231', 'pack08', 11046, 11044, 0)]","[('MT0010010082', 'pack19', 28000, 28000, 0), ('MT0010010082', 'pack18', 28000, 28000, 0)]","[('MT0010010274', 'pack17', 30040, 30036, 0)]","[('MT0020010004', 'pack16', 18000, 18000, 0), ('MT0020010004', 'pack12', 18000, 18000, 0)]",2025-10-13,早班,3,Monday,"['pack01', 'pack02', 'pack05', 'pack06', 'pack08', 'pack09', 'pack11', 'pack12', 'pack13', 'pack15', 'pack16', 'pack17', 'pack18', 'pack19']"
2025-10-13;中班;3,"[('MT0010010082', 'pack10', 34000, 34000, 0), ('MT0010010082', 'pack14', 34000, 34000, 0)]","[('MT0010010778', 'pack07', 26000, 26000, 0)]","[('MT0010010050', 'pack07', 15000, 15000, 0)]",,,"[('MT0010010778', 'pack07', 26000, 26000, 0)]",,,"[('MT0010010050', 'pack07', 13000, 13000, 0)]",,2025-10-13,中班,3,Monday,"['pack07', 'pack10', 'pack14']"
2025-10-14;早班;3,"[('MT0010010082', 'pack01', 34000, 34000, 0), ('MT0010010082', 'pack02', 34000, 34000, 0)]","[('MT0010010778', 'pack17', 26000, 26000, 0)]","[('MT0010010050', 'pack15', 15000, 15000, 0)]","[('MT0010010082', 'pack05', 55000, 55000, 0), ('MT0010010082', 'pack11', 55000, 55000, 0)]","[('MT0010010778', 'pack06', 26000, 26000, 0), ('MT0010010778', 'pack13', 26000, 26000, 0)]","[('MT0010010778', 'pack17', 26000, 26000, 0)]","[('MT0010010130', 'pack09', 10980, 10980, 0), ('MT0040020013', 'pack08', 13000, 12239, 0)]","[('MT0010010082', 'pack19', 28000, 28000, 0), ('MT0010010082', 'pack18', 28000, 28000, 0)]","[('MT0010010050', 'pack17', 13000, 9600, 0)]","[('MT0020010004', 'pack16', 18000, 18000, 0), ('MT0020010004', 'pack12', 18000, 18000, 0)]",2025-10-14,早班,3,Tuesday,"['pack01', 'pack02', 'pack05', 'pack06', 'pack08', 'pack09', 'pack11', 'pack12', 'pack13', 'pack15', 'pack16', 'pack17', 'pack18', 'pack19']"
2025-10-14;中班;3,"[('MT0010010082', 'pack10', 34000, 34000, 0), ('MT0010010082', 'pack14', 34000, 34000, 0)]","[('MT0010010778', 'pack07', 26000, 26000, 0)]","[('MT0010010789', 'pack07', 14000, 14000, 0)]",,,"[('MT0010010778', 'pack07', 26000, 26000, 0)]",,,,,2025-10-14,中班,3,Tuesday,"['pack07', 'pack10', 'pack14']"
2025-10-15;早班;3,"[('MT0010010082', 'pack01', 34000, 34000, 0), ('MT0010010082', 'pack02', 34000, 34000, 0)]","[('MT0010010778', 'pack17', 26000, 26000, 0)]","[('MT0010010789', 'pack15', 14000, 14000, 0)]","[('MT0010010082', 'pack05', 55000, 55000, 0), ('MT0010010082', 'pack11', 55000, 55000, 0)]","[('MT0010010778', 'pack06', 26000, 26000, 0), ('MT0010010778', 'pack13', 26000, 26000, 0)]","[('MT0010010778', 'pack17', 26000, 26000, 0)]","[('MT0010010750', 'pack09', 15000, 13593, 0), ('MT0010010192', 'pack08', 16000, 14472, 0)]","[('MT0010010082', 'pack19', 28000, 28000, 0), ('MT0010010082', 'pack18', 28000, 28000, 0)]",,"[('MT0020010004', 'pack16', 18000, 18000, 0), ('MT0020010004', 'pack12', 18000, 18000, 0)]",2025-10-15,早班,3,Wednesday,"['pack01', 'pack02', 'pack05', 'pack06', 'pack08', 'pack09', 'pack11', 'pack12', 'pack13', 'pack15', 'pack16', 'pack17', 'pack18', 'pack19']"
2025-10-15;中班;3,"[('MT0010010082', 'pack10', 34000, 34000, 0), ('MT0010010082', 'pack14', 34000, 34000, 0)]","[('MT0010010778', 'pack07', 26000, 26000, 0)]","[('MT0010010789', 'pack07', 14000, 14000, 0)]",,,"[('MT0010010778', 'pack07', 26000, 26000, 0)]",,,,,2025-10-15,中班,3,Wednesday,"['pack07', 'pack10', 'pack14']"
2025-10-16;早班;3,"[('MT0010010082', 'pack01', 34000, 34000, 0), ('MT0010010082', 'pack02', 34000, 34000, 0)]","[('MT0010010778', 'pack17', 26000, 26000, 0)]","[('MT0010010789', 'pack15', 14000, 14000, 0)]","[('MT0010010082', 'pack05', 55000, 55000, 0), ('MT0010010082', 'pack11', 55000, 55000, 0)]","[('MT0010010778', 'pack06', 26000, 26000, 0), ('MT0010010778', 'pack13', 26000, 26000, 0)]","[('MT0010010778', 'pack17', 26000, 26000, 0)]","[('MT0010010082', 'pack09', 28000, 28000, 0), ('MT0010010082', 'pack08', 28000, 28000, 0)]","[('MT0010010082', 'pack19', 28000, 28000, 0), ('MT0010010082', 'pack18', 28000, 28000, 0)]",,"[('MT0020010004', 'pack16', 18000, 18000, 0), ('MT0020010004', 'pack12', 18000, 18000, 0)]",2025-10-16,早班,3,Thursday,"['pack01', 'pack02', 'pack05', 'pack06', 'pack08', 'pack09', 'pack11', 'pack12', 'pack13', 'pack15', 'pack16', 'pack17', 'pack18', 'pack19']"
2025-10-16;中班;3,"[('MT0010010082', 'pack10', 34000, 34000, 0), ('MT0010010082', 'pack14', 34000, 34000, 0)]","[('MT0010010778', 'pack07', 26000, 26000, 0)]","[('MT0010010789', 'pack07', 14000, 14000, 0)]",,,"[('MT0010020003', 'pack07', 35000, 35000, 0)]",,,,,2025-10-16,中班,3,Thursday,"['pack07', 'pack10', 'pack14']"
