日期,班次,周次,星期,产线编码,产线名称,产品编码,产品名称,班组编码,班组名称,标准产能,班次计划量,累计完成量,产能利用率,是否换产,状态
2025-10-09,早班,2,Thursday,030201,包装1号线,MT0010010082,飞天53%vol 500ml贵州茅台酒（带杯）（1×6）,pack01,包装1班,34000,34000,34000,100.00%,否,正常生产
2025-10-09,早班,2,Thursday,030201,包装1号线,MT0010010082,飞天53%vol 500ml贵州茅台酒（带杯）（1×6）,pack02,包装2班,34000,34000,68000,100.00%,否,正常生产
2025-10-09,早班,2,Thursday,030205,包装5S线,MT0010010082,飞天53%vol 500ml贵州茅台酒（带杯）（1×6）,pack05,包装5班,55000,55000,123000,100.00%,否,正常生产
2025-10-09,早班,2,Thursday,030205,包装5S线,MT0010010082,飞天53%vol 500ml贵州茅台酒（带杯）（1×6）,pack11,包装11班,55000,55000,178000,100.00%,否,正常生产
2025-10-09,早班,2,Thursday,030206,包装6号线,MT0010010778,飞天53%vol 500ml贵州茅台酒（带杯）（1×4）,pack06,包装6班,26000,26000,26000,100.00%,否,正常生产
2025-10-09,早班,2,Thursday,030206,包装6号线,MT0010010778,飞天53%vol 500ml贵州茅台酒（带杯）（1×4）,pack13,包装13班,26000,26000,52000,100.00%,否,正常生产
2025-10-09,早班,2,Thursday,030203,包装3号线,MT0010010778,飞天53%vol 500ml贵州茅台酒（带杯）（1×4）,pack17,包装17班,26000,26000,78000,100.00%,否,正常生产
2025-10-09,早班,2,Thursday,030204,包装4号线,MT0010010050,飞天53%vol 1L贵州茅台酒（1×6）,pack15,包装15班,15000,15000,15000,100.00%,否,正常生产
2025-10-09,早班,2,Thursday,030207,包装7号线,MT0010010778,飞天53%vol 500ml贵州茅台酒（带杯）（1×4）,pack17,包装17班,26000,26000,104000,100.00%,否,正常生产
2025-10-09,早班,2,Thursday,030211,包装11号线,MT0010010274,53%vol 50ml×5贵州茅台酒（金色）（1×12）,pack17,包装17班,30040,30040,30040,100.00%,否,正常生产
2025-10-09,早班,2,Thursday,030208,包装8号线,MT0010010664,53%vol 500ml贵州茅台酒（书画家）（1×6×6）,pack09,包装9班,10800,10800,10800,100.00%,否,正常生产
2025-10-09,早班,2,Thursday,030208,包装8号线,MT0010010664,53%vol 500ml贵州茅台酒（书画家）（1×6×6）,pack08,包装8班,10800,10800,21600,100.00%,否,正常生产
2025-10-09,早班,2,Thursday,030209,包装9号线,MT0010010082,飞天53%vol 500ml贵州茅台酒（带杯）（1×6）,pack19,包装19班,28000,28000,206000,100.00%,否,正常生产
2025-10-09,早班,2,Thursday,030209,包装9号线,MT0010010082,飞天53%vol 500ml贵州茅台酒（带杯）（1×6）,pack18,包装18班,28000,28000,234000,100.00%,否,正常生产
2025-10-09,早班,2,Thursday,030213,包装13号线,MT0020010004,53%vol 500ml贵州茅台酒（精品）（1×6）,pack16,包装16班,18000,18000,18000,100.00%,否,正常生产
2025-10-09,早班,2,Thursday,030213,包装13号线,MT0020010004,53%vol 500ml贵州茅台酒（精品）（1×6）,pack12,包装12班,18000,18000,36000,100.00%,否,正常生产
2025-10-09,中班,2,Thursday,030201,包装1号线,MT0010010082,飞天53%vol 500ml贵州茅台酒（带杯）（1×6）,pack10,包装10班,34000,34000,268000,100.00%,否,正常生产
2025-10-09,中班,2,Thursday,030201,包装1号线,MT0010010082,飞天53%vol 500ml贵州茅台酒（带杯）（1×6）,pack14,包装14班,34000,34000,302000,100.00%,否,正常生产
2025-10-09,中班,2,Thursday,030203,包装3号线,MT0010010778,飞天53%vol 500ml贵州茅台酒（带杯）（1×4）,pack07,包装7班,26000,26000,130000,100.00%,否,正常生产
2025-10-09,中班,2,Thursday,030204,包装4号线,MT0010010050,飞天53%vol 1L贵州茅台酒（1×6）,pack07,包装7班,15000,15000,30000,100.00%,否,正常生产
2025-10-09,中班,2,Thursday,030207,包装7号线,MT0010010778,飞天53%vol 500ml贵州茅台酒（带杯）（1×4）,pack07,包装7班,26000,26000,156000,100.00%,否,正常生产
2025-10-09,中班,2,Thursday,030211,包装11号线,MT0010010274,53%vol 50ml×5贵州茅台酒（金色）（1×12）,pack07,包装7班,30040,30040,60080,100.00%,否,正常生产
2025-10-10,早班,2,Friday,030201,包装1号线,MT0010010082,飞天53%vol 500ml贵州茅台酒（带杯）（1×6）,pack01,包装1班,34000,34000,336000,100.00%,否,正常生产
2025-10-10,早班,2,Friday,030201,包装1号线,MT0010010082,飞天53%vol 500ml贵州茅台酒（带杯）（1×6）,pack02,包装2班,34000,34000,370000,100.00%,否,正常生产
2025-10-10,早班,2,Friday,030205,包装5S线,MT0010010082,飞天53%vol 500ml贵州茅台酒（带杯）（1×6）,pack05,包装5班,55000,55000,425000,100.00%,否,正常生产
2025-10-10,早班,2,Friday,030205,包装5S线,MT0010010082,飞天53%vol 500ml贵州茅台酒（带杯）（1×6）,pack11,包装11班,55000,55000,480000,100.00%,否,正常生产
2025-10-10,早班,2,Friday,030206,包装6号线,MT0010010778,飞天53%vol 500ml贵州茅台酒（带杯）（1×4）,pack06,包装6班,26000,26000,182000,100.00%,否,正常生产
2025-10-10,早班,2,Friday,030206,包装6号线,MT0010010778,飞天53%vol 500ml贵州茅台酒（带杯）（1×4）,pack13,包装13班,26000,26000,208000,100.00%,否,正常生产
2025-10-10,早班,2,Friday,030203,包装3号线,MT0010010778,飞天53%vol 500ml贵州茅台酒（带杯）（1×4）,pack17,包装17班,26000,26000,234000,100.00%,否,正常生产
2025-10-10,早班,2,Friday,030204,包装4号线,MT0010010050,飞天53%vol 1L贵州茅台酒（1×6）,pack15,包装15班,15000,15000,45000,100.00%,否,正常生产
2025-10-10,早班,2,Friday,030207,包装7号线,MT0010010778,飞天53%vol 500ml贵州茅台酒（带杯）（1×4）,pack17,包装17班,26000,26000,260000,100.00%,否,正常生产
2025-10-10,早班,2,Friday,030211,包装11号线,MT0010010274,53%vol 50ml×5贵州茅台酒（金色）（1×12）,pack17,包装17班,30040,30040,90120,100.00%,否,正常生产
2025-10-10,早班,2,Friday,030208,包装8号线,MT0010010664,53%vol 500ml贵州茅台酒（书画家）（1×6×6）,pack09,包装9班,10800,10469,29098,96.94%,是,换产
2025-10-10,早班,2,Friday,030208,包装8号线,MT0010010026,53%vol 500ml贵州茅台酒（金奖纪念）（1×6）,pack08,包装8班,4248,4248,4248,100.00%,否,正常生产
2025-10-10,早班,2,Friday,030209,包装9号线,MT0010010082,飞天53%vol 500ml贵州茅台酒（带杯）（1×6）,pack19,包装19班,28000,28000,510971,100.00%,否,正常生产
2025-10-10,早班,2,Friday,030209,包装9号线,MT0010010082,飞天53%vol 500ml贵州茅台酒（带杯）（1×6）,pack18,包装18班,28000,28000,538971,100.00%,否,正常生产
2025-10-10,早班,2,Friday,030213,包装13号线,MT0020010004,53%vol 500ml贵州茅台酒（精品）（1×6）,pack16,包装16班,18000,18000,54000,100.00%,否,正常生产
2025-10-10,早班,2,Friday,030213,包装13号线,MT0020010004,53%vol 500ml贵州茅台酒（精品）（1×6）,pack12,包装12班,18000,18000,72000,100.00%,否,正常生产
2025-10-10,中班,2,Friday,030201,包装1号线,MT0010010082,飞天53%vol 500ml贵州茅台酒（带杯）（1×6）,pack10,包装10班,34000,34000,572971,100.00%,否,正常生产
2025-10-10,中班,2,Friday,030201,包装1号线,MT0010010082,飞天53%vol 500ml贵州茅台酒（带杯）（1×6）,pack14,包装14班,34000,34000,606971,100.00%,否,正常生产
2025-10-10,中班,2,Friday,030203,包装3号线,MT0010010778,飞天53%vol 500ml贵州茅台酒（带杯）（1×4）,pack07,包装7班,26000,26000,286000,100.00%,否,正常生产
2025-10-10,中班,2,Friday,030204,包装4号线,MT0010010050,飞天53%vol 1L贵州茅台酒（1×6）,pack07,包装7班,15000,15000,60000,100.00%,否,正常生产
2025-10-10,中班,2,Friday,030207,包装7号线,MT0010010778,飞天53%vol 500ml贵州茅台酒（带杯）（1×4）,pack07,包装7班,26000,26000,312000,100.00%,否,正常生产
2025-10-10,中班,2,Friday,030211,包装11号线,MT0010010274,53%vol 50ml×5贵州茅台酒（金色）（1×12）,pack07,包装7班,30040,30040,120160,100.00%,否,正常生产
2025-10-11,早班,2,Saturday,030201,包装1号线,MT0010010082,飞天53%vol 500ml贵州茅台酒（带杯）（1×6）,pack01,包装1班,34000,34000,640971,100.00%,否,正常生产
2025-10-11,早班,2,Saturday,030201,包装1号线,MT0010010082,飞天53%vol 500ml贵州茅台酒（带杯）（1×6）,pack02,包装2班,34000,34000,674971,100.00%,否,正常生产
2025-10-11,早班,2,Saturday,030205,包装5S线,MT0010010082,飞天53%vol 500ml贵州茅台酒（带杯）（1×6）,pack05,包装5班,55000,55000,729971,100.00%,否,正常生产
2025-10-11,早班,2,Saturday,030205,包装5S线,MT0010010082,飞天53%vol 500ml贵州茅台酒（带杯）（1×6）,pack11,包装11班,55000,55000,784971,100.00%,否,正常生产
2025-10-11,早班,2,Saturday,030206,包装6号线,MT0010010778,飞天53%vol 500ml贵州茅台酒（带杯）（1×4）,pack06,包装6班,26000,26000,338000,100.00%,否,正常生产
2025-10-11,早班,2,Saturday,030206,包装6号线,MT0010010778,飞天53%vol 500ml贵州茅台酒（带杯）（1×4）,pack13,包装13班,26000,26000,364000,100.00%,否,正常生产
2025-10-11,早班,2,Saturday,030203,包装3号线,MT0010010778,飞天53%vol 500ml贵州茅台酒（带杯）（1×4）,pack17,包装17班,26000,26000,390000,100.00%,否,正常生产
2025-10-11,早班,2,Saturday,030204,包装4号线,MT0010010050,飞天53%vol 1L贵州茅台酒（1×6）,pack15,包装15班,15000,15000,75000,100.00%,否,正常生产
2025-10-11,早班,2,Saturday,030207,包装7号线,MT0010010778,飞天53%vol 500ml贵州茅台酒（带杯）（1×4）,pack17,包装17班,26000,26000,416000,100.00%,否,正常生产
2025-10-11,早班,2,Saturday,030211,包装11号线,MT0010010274,53%vol 50ml×5贵州茅台酒（金色）（1×12）,pack17,包装17班,30040,30040,150200,100.00%,否,正常生产
2025-10-11,早班,2,Saturday,030208,包装8号线,MT0010010026,53%vol 500ml贵州茅台酒（金奖纪念）（1×6）,pack09,包装9班,4248,4248,8496,100.00%,否,正常生产
2025-10-11,早班,2,Saturday,030208,包装8号线,MT0010010026,53%vol 500ml贵州茅台酒（金奖纪念）（1×6）,pack08,包装8班,4248,4248,12744,100.00%,否,正常生产
2025-10-11,早班,2,Saturday,030209,包装9号线,MT0010010082,飞天53%vol 500ml贵州茅台酒（带杯）（1×6）,pack19,包装19班,28000,28000,812971,100.00%,否,正常生产
2025-10-11,早班,2,Saturday,030209,包装9号线,MT0010010082,飞天53%vol 500ml贵州茅台酒（带杯）（1×6）,pack18,包装18班,28000,28000,840971,100.00%,否,正常生产
2025-10-11,早班,2,Saturday,030213,包装13号线,MT0020010004,53%vol 500ml贵州茅台酒（精品）（1×6）,pack16,包装16班,18000,18000,90000,100.00%,否,正常生产
2025-10-11,早班,2,Saturday,030213,包装13号线,MT0020010004,53%vol 500ml贵州茅台酒（精品）（1×6）,pack12,包装12班,18000,18000,108000,100.00%,否,正常生产
2025-10-11,中班,2,Saturday,030201,包装1号线,MT0010010082,飞天53%vol 500ml贵州茅台酒（带杯）（1×6）,pack10,包装10班,34000,34000,874971,100.00%,否,正常生产
2025-10-11,中班,2,Saturday,030201,包装1号线,MT0010010082,飞天53%vol 500ml贵州茅台酒（带杯）（1×6）,pack14,包装14班,34000,34000,908971,100.00%,否,正常生产
2025-10-11,中班,2,Saturday,030203,包装3号线,MT0010010778,飞天53%vol 500ml贵州茅台酒（带杯）（1×4）,pack07,包装7班,26000,26000,442000,100.00%,否,正常生产
2025-10-11,中班,2,Saturday,030204,包装4号线,MT0010010050,飞天53%vol 1L贵州茅台酒（1×6）,pack07,包装7班,15000,15000,90000,100.00%,否,正常生产
2025-10-11,中班,2,Saturday,030207,包装7号线,MT0010010778,飞天53%vol 500ml贵州茅台酒（带杯）（1×4）,pack07,包装7班,26000,26000,468000,100.00%,否,正常生产
2025-10-11,中班,2,Saturday,030211,包装11号线,MT0010010274,53%vol 50ml×5贵州茅台酒（金色）（1×12）,pack07,包装7班,30040,30040,180240,100.00%,否,正常生产
2025-10-13,早班,3,Monday,030201,包装1号线,MT0010010082,飞天53%vol 500ml贵州茅台酒（带杯）（1×6）,pack01,包装1班,34000,34000,942971,100.00%,否,正常生产
2025-10-13,早班,3,Monday,030201,包装1号线,MT0010010082,飞天53%vol 500ml贵州茅台酒（带杯）（1×6）,pack02,包装2班,34000,34000,976971,100.00%,否,正常生产
2025-10-13,早班,3,Monday,030205,包装5S线,MT0010010082,飞天53%vol 500ml贵州茅台酒（带杯）（1×6）,pack05,包装5班,55000,55000,1031971,100.00%,否,正常生产
2025-10-13,早班,3,Monday,030205,包装5S线,MT0010010082,飞天53%vol 500ml贵州茅台酒（带杯）（1×6）,pack11,包装11班,55000,55000,1086971,100.00%,否,正常生产
2025-10-13,早班,3,Monday,030206,包装6号线,MT0010010778,飞天53%vol 500ml贵州茅台酒（带杯）（1×4）,pack06,包装6班,26000,26000,494000,100.00%,否,正常生产
2025-10-13,早班,3,Monday,030206,包装6号线,MT0010010778,飞天53%vol 500ml贵州茅台酒（带杯）（1×4）,pack13,包装13班,26000,26000,520000,100.00%,否,正常生产
2025-10-13,早班,3,Monday,030203,包装3号线,MT0010010778,飞天53%vol 500ml贵州茅台酒（带杯）（1×4）,pack17,包装17班,26000,26000,546000,100.00%,否,正常生产
2025-10-13,早班,3,Monday,030204,包装4号线,MT0010010050,飞天53%vol 1L贵州茅台酒（1×6）,pack15,包装15班,15000,15000,105000,100.00%,否,正常生产
2025-10-13,早班,3,Monday,030207,包装7号线,MT0010010778,飞天53%vol 500ml贵州茅台酒（带杯）（1×4）,pack17,包装17班,26000,26000,572000,100.00%,否,正常生产
2025-10-13,早班,3,Monday,030211,包装11号线,MT0010010274,53%vol 50ml×5贵州茅台酒（金色）（1×12）,pack17,包装17班,30040,30036,210276,99.99%,否,正常生产
2025-10-13,早班,3,Monday,030208,包装8号线,MT0010010026,53%vol 500ml贵州茅台酒（金奖纪念）（1×6）,pack09,包装9班,4248,4248,16992,100.00%,否,正常生产
2025-10-13,早班,3,Monday,030208,包装8号线,MT0010010231,53%vol 500ml贵州茅台酒（金昭玉粹·黄）（1×6）,pack08,包装8班,11046,11044,11044,99.98%,否,正常生产
2025-10-13,早班,3,Monday,030209,包装9号线,MT0010010082,飞天53%vol 500ml贵州茅台酒（带杯）（1×6）,pack19,包装19班,28000,28000,1114971,100.00%,否,正常生产
2025-10-13,早班,3,Monday,030209,包装9号线,MT0010010082,飞天53%vol 500ml贵州茅台酒（带杯）（1×6）,pack18,包装18班,28000,28000,1142971,100.00%,否,正常生产
2025-10-13,早班,3,Monday,030213,包装13号线,MT0020010004,53%vol 500ml贵州茅台酒（精品）（1×6）,pack16,包装16班,18000,18000,126000,100.00%,否,正常生产
2025-10-13,早班,3,Monday,030213,包装13号线,MT0020010004,53%vol 500ml贵州茅台酒（精品）（1×6）,pack12,包装12班,18000,18000,144000,100.00%,否,正常生产
2025-10-13,中班,3,Monday,030201,包装1号线,MT0010010082,飞天53%vol 500ml贵州茅台酒（带杯）（1×6）,pack10,包装10班,34000,34000,1176971,100.00%,否,正常生产
2025-10-13,中班,3,Monday,030201,包装1号线,MT0010010082,飞天53%vol 500ml贵州茅台酒（带杯）（1×6）,pack14,包装14班,34000,34000,1210971,100.00%,否,正常生产
2025-10-13,中班,3,Monday,030203,包装3号线,MT0010010778,飞天53%vol 500ml贵州茅台酒（带杯）（1×4）,pack07,包装7班,26000,26000,598000,100.00%,否,正常生产
2025-10-13,中班,3,Monday,030204,包装4号线,MT0010010050,飞天53%vol 1L贵州茅台酒（1×6）,pack07,包装7班,15000,15000,120000,100.00%,否,正常生产
2025-10-13,中班,3,Monday,030207,包装7号线,MT0010010778,飞天53%vol 500ml贵州茅台酒（带杯）（1×4）,pack07,包装7班,26000,26000,624000,100.00%,否,正常生产
2025-10-13,中班,3,Monday,030211,包装11号线,MT0010010050,飞天53%vol 1L贵州茅台酒（1×6）,pack07,包装7班,13000,13000,133000,100.00%,否,正常生产
2025-10-14,早班,3,Tuesday,030201,包装1号线,MT0010010082,飞天53%vol 500ml贵州茅台酒（带杯）（1×6）,pack01,包装1班,34000,34000,1244971,100.00%,否,正常生产
2025-10-14,早班,3,Tuesday,030201,包装1号线,MT0010010082,飞天53%vol 500ml贵州茅台酒（带杯）（1×6）,pack02,包装2班,34000,34000,1278971,100.00%,否,正常生产
